pt,a,b,c,d,ROR,ROR_lower,ROR_upper,PRR,PRR_chi2,IC,IC025,signal
Arrhythmia supraventricular,5,1,2122,6095,14.361451460885956,1.6768330362666817,123.00049176188902,14.330042313117065,7.559138163519543,1.4224090957303746,-0.2161091703062994,False
Necrosis,4,1,2123,6095,11.483749411210551,1.282780136166572,102.8052250119613,11.464033850493653,5.081823534500411,1.3272891560041715,-0.47033777750087125,False
Abdominal abscess,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Anaemia postoperative,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Avulsion fracture,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Axillary nerve injury,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Bladder perforation,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Blood loss anaemia,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Breast haematoma,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Cholinergic syndrome,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Clonic convulsion,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Delayed graft function,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Endometritis,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Eye pruritus,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Flap necrosis,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Fluid replacement,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Gastrointestinal procedural complication,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Haematoma evacuation,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Implant site infection,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Incorrect dosage administered,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Intestinal perforation,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Monoparesis,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Muscle strain,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Nodal rhythm,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Oliguria,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Omphalitis,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Oxygen therapy,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Pancreatic leak,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Patient dissatisfaction with treatment,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Pericardial effusion,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Pericarditis,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Post procedural discomfort,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Product packaging quantity issue,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Rash generalised,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Soft tissue infection,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Stevens-Johnson syndrome,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Subdural haemorrhage,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Therapeutic procedure,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Transient tachypnoea of the newborn,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Vasoplegia syndrome,2,0,2125,6096,11.474823529411765,0.5172287464207524,254.57126260347152,11.464974141984015,1.5196366444886593,1.1245376203727386,-1.2971186141315463,False
Renal failure,6,2,2121,6094,8.61951909476662,1.7383446885773064,42.73957283227394,8.59802538787024,7.67965755024408,1.3390543877045742,-0.13459532377741246,False
Acute respiratory distress syndrome,3,1,2124,6095,8.608757062146893,0.8949639261137241,82.80858701968131,8.59802538787024,2.800766623181286,1.1894369059414855,-0.8260515502374766,False
Administration site swelling,3,1,2124,6095,8.608757062146893,0.8949639261137241,82.80858701968131,8.59802538787024,2.800766623181286,1.1894369059414855,-0.8260515502374766,False
Anaesthetic complication cardiac,3,1,2124,6095,8.608757062146893,0.8949639261137241,82.80858701968131,8.59802538787024,2.800766623181286,1.1894369059414855,-0.8260515502374766,False
Body temperature increased,3,1,2124,6095,8.608757062146893,0.8949639261137241,82.80858701968131,8.59802538787024,2.800766623181286,1.1894369059414855,-0.8260515502374766,False
