pt,a,b,c,d,ROR,ROR_lower,ROR_upper,PRR,PRR_chi2,IC,IC025,signal
Fracture,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Gastrointestinal haemorrhage,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Haematocrit decreased,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Impaired gastric emptying,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Incision site rash,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Infusion site rash,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Joint dislocation,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Lung disorder,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Muscle rigidity,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Panic attack,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Peripheral artery occlusion,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Periprosthetic fracture,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Post procedural fever,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Post procedural hypotension,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Post procedural infection,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Post procedural swelling,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Procedural dizziness,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Product preparation error,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Rash pruritic,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Rebound effect,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Restlessness,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Sinus arrest,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Subcutaneous emphysema,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Wound,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Wound complication,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Atrial fibrillation,20,4,2107,1123,2.664926435690555,0.9086462486579538,7.815839132260307,2.649271274094969,2.6946720380935245,0.3407197516985805,-0.5035467719953777,False
Pulmonary embolism,15,3,2112,1124,2.660984848484848,0.7687211465005783,9.211194977658394,2.6492712740949695,1.8447278557495168,0.33762374560460234,-0.6342048660743034,False
Blister,10,2,2117,1125,2.6570618800188943,0.5811712786623692,12.147843662368986,2.649271274094969,1.0133238238245716,0.3315982439118861,-0.8505842336126201,False
Back pain,5,1,2122,1126,2.6531573986804897,0.3095802984404282,22.73802376195966,2.649271274094969,0.24645433570043615,0.3147514429442634,-1.322407520091084,False
Hypokinesia,5,1,2122,1126,2.6531573986804897,0.3095802984404282,22.73802376195966,2.649271274094969,0.24645433570043615,0.3147514429442634,-1.322407520091084,False
White blood cell count increased,5,1,2122,1126,2.6531573986804897,0.3095802984404282,22.73802376195966,2.649271274094969,0.24645433570043615,0.3147514429442634,-1.322407520091084,False
Osteoarthritis,14,3,2113,1124,2.4824104748383022,0.711886151122296,8.656386636924873,2.472653189155305,1.4892806933912974,0.3204153472756443,-0.6819441805609978,False
Pruritus,28,7,2099,1120,2.134349690328728,0.9293604766921174,4.9017025307775,2.119417019275976,2.7254159556961266,0.2858106350144416,-0.4228333405684255,False
Fall,16,4,2111,1123,2.127901468498342,0.7096907610957924,6.380193892683669,2.1194170192759754,1.3088214605391042,0.28171143341611676,-0.6515733371745909,False
Accidental overdose,12,3,2115,1124,2.1257683215130023,0.5986320633466692,7.5486951558946265,2.119417019275976,0.8501047652069439,0.27860381134853296,-0.7946664760367421,False
Hypersensitivity,12,3,2115,1124,2.1257683215130023,0.5986320633466692,7.5486951558946265,2.119417019275976,0.8501047652069439,0.27860381134853296,-0.7946664760367421,False
Injection site pain,4,1,2123,1126,2.121526142251531,0.2368325525111043,19.004453249920658,2.1194170192759754,0.047506071571686966,0.2560168478060726,-1.5403711821512331,False
Musculoskeletal stiffness,4,1,2123,1126,2.121526142251531,0.2368325525111043,19.004453249920658,2.1194170192759754,0.047506071571686966,0.2560168478060726,-1.5403711821512331,False
Myalgia,4,1,2123,1126,2.121526142251531,0.2368325525111043,19.004453249920658,2.1194170192759754,0.047506071571686966,0.2560168478060726,-1.5403711821512331,False
Swelling face,4,1,2123,1126,2.121526142251531,0.2368325525111043,19.004453249920658,2.1194170192759754,0.047506071571686966,0.2560168478060726,-1.5403711821512331,False
Abdominal abscess,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Amniotic cavity infection,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Anaemia postoperative,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Ataxia,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Atrioventricular block first degree,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Avulsion fracture,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Axillary nerve injury,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Bladder perforation,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
